,review,cleaned_review,polarity
3112,"I bought the TV and the display issue occured after a month.Technician visited and promised to replace it by 7 days.But its been 1 month , with no solution.Oneplus , I need a better and quick solution rather waiting till months or years.",bought tv display issue occured monthtechnician visited promised replace 7 daysbut 1 month solutiononeplus need better quick solution rather waiting till month year,0.41666666666666663
3113,TOTALLY SATISFIED WITH THE PRODUCT AND FOR THE PRICE I PURCHASED.PICTURE QUALITY IS GOOD.PERFORMANCE ALSO VERY NICE TILL NOW.CHEERS,totally satisfied product price purchasedpicture quality goodperformance also nice till nowcheers,0.55
3114,"The media could not be loaded.
                




   32 inch tv I ordered fully satisfied with the smart features.Iam running this tv through internet only did not used any cable/dth because all channels are available live so if you have good internet connection no need of cable/dth setup",medium could loaded 32 inch tv ordered fully satisfied smart featuresiam running tv internet used cabledth channel available live good internet connection need cabledth setup,0.3901298701298701
3115,"Not working uploaded oxygen play app, Disney plus hotstar sonyliv hbo max zee5 discovery+ and many others apps",working uploaded oxygen play app disney plus hotstar sonyliv hbo max zee5 discovery many others apps,0.5
3116,Remote controller does random button clicks even if remote controller is kept untouched. Makes it harder to watch the tv because it keeps happening unintentional clicks on tv. It could be tv or remote fault. Even though the remote sells are removed same thing keeps happening,remote controller random button click even remote controller kept untouched make harder watch tv keep happening unintentional click tv could tv remote fault even though remote sell removed thing keep happening,-0.16666666666666666
3117,Very awesome and superb quality picture its too good,awesome superb quality picture good,0.9
3118,"Within 15 days of purchase there has been an issue of Motherboard, Wi-fi connectivity, remote not working & blue screen very often, Have been following up with Amazon from 29th of November & till date (12-12-2020) have not had any resolution !!",within 15 day purchase issue motherboard wifi connectivity remote working blue screen often following amazon 29th november till date 12122020 resolution,-0.03333333333333333
3119,I have complained a problem regarding Remote Malfunctioning next day after it’s installed .But so far no rectification action is take . It’s almost two since it’s installed. Even the sound is not clear .,complained problem regarding remote malfunctioning next day installed far rectification action take almost two since installed even sound clear,0.04285714285714286
3120,We sent back the product just after unboxing it. Amazon prime was just not logging in after repeatedly trying by us and installation person we could not crack it. So we decided it to just return it. We bought it with great expectation and turned out to be a bad decision.,sent back product unboxing amazon prime logging repeatedly trying u installation person could crack decided return bought great expectation turned bad decision,0.0333333333333334
3121,TV is very good. But the installation service is worst. After two months the free installation service have not materialised. So I have installed it myself without caring about warranty.,tv good installation service worst two month free installation service materialised installed without caring warranty,0.033333333333333326
3122,Hanging and restart issue OnePlus phone is good but tv is very poor quality not expected from one plus,hanging restart issue oneplus phone good tv poor quality expected one plus,0.06666666666666664
3123,Why 300 extra charged for stand.Stand does not come with TV,300 extra charged standstand come tv,0.0
